100% Bran,70,4,1,5
100% Natural Bran,120,3,5,8
All-Bran,70,4,1,7
All-Bran with Extra Fiber,50,4,0,8
Almond Delight,110,2,2,14
Apple Cinnamon Cheerios,110,2,2,10.5
Apple Jacks,110,2,0,11
Basic 4,130,3,2,18
Bran Chex,90,2,1,15
Bran Flakes,90,3,0,13
Cap'n'Crunch,120,1,2,12
Cheerios,110,6,2,17
Cinnamon Toast Crunch,120,1,3,13
Clusters,110,3,2,13
Cocoa Puffs,110,1,1,12
Corn Chex,110,2,0,22
Corn Flakes,100,2,0,21
Corn Pops,110,1,0,13
Count Chocula,110,1,1,12
Cracklin' Oat Bran,110,3,3,10
Cream of Wheat (Quick),100,3,0,21
Crispix,110,2,0,21
Crispy Wheat & Raisins,100,2,1,11
Double Chex,100,2,0,18
Froot Loops,110,2,1,11
Frosted Flakes,110,1,0,14
Frosted Mini-Wheats,100,3,0,14
Fruitful Bran,120,3,0,14
Fruity Pebbles,110,1,1,13
Golden Crisp,100,2,0,11
Golden Grahams,110,1,1,15
Grape Nuts Flakes,100,3,1,15
Grape-Nuts,110,3,0,17
Great Grains Pecan,120,3,3,13
Honey Graham Ohs,120,1,2,12
Honey Nut Cheerios,110,3,1,11.5
Honey-comb,110,1,0,14
Just Right Crunchy  Nuggets,110,2,1,17
Just Right Fruit & Nut,140,3,1,20
Kix,110,2,1,21
Life,100,4,2,12
Lucky Charms,110,2,1,12
Maypo,100,4,1,16
Mueslix Crispy Blend,160,3,2,17
Multi-Grain Cheerios,100,2,1,15
Nut&Honey Crunch,120,2,1,15
Nutri-Grain Almond-Raisin,140,3,2,21
Nutri-grain Wheat,90,3,0,18
Oatmeal Raisin Crisp,130,3,2,13.5
Post Nat. Raisin Bran,120,3,1,11
Product 19,100,3,0,20
Puffed Rice,50,1,0,13
Puffed Wheat,50,2,0,10
Quaker Oat Squares,100,4,1,14
Raisin Bran,120,3,1,14
Raisin Nut Bran,100,3,2,10.5
Raisin Squares,90,2,0,15
Rice Chex,110,1,0,23
Rice Krispies,110,2,0,22
Shredded Wheat,80,2,0,16
Shredded Wheat 'n'Bran,90,3,0,19
Shredded Wheat spoon size,90,3,0,20
Smacks,110,2,1,9
Special K,110,6,0,16
Strawberry Fruit Wheats,90,2,0,15
Total Corn Flakes,110,2,1,21
Total Raisin Bran,140,3,1,15
Total Whole Grain,100,3,1,16
Triples,110,2,1,21
Trix,110,1,1,13
Wheat Chex,100,3,1,17
Wheaties,100,3,1,17
Wheaties Honey Gold,110,2,1,16
